Job Position,Link
Xellia d.o.o.,Global Submission Management Specialist (m/f),https://www.moj-posao.net/Posao/697677/Global-Submission-Management-Specialist-mf/
MikHab KOS Technologies d.o.o.,SAP Master Data Expert (m/f),https://www.moj-posao.net/Posao/697151/SAP-Master-Data-Expert-mf/
Electus DGS d.o.o.,Tehničar za telekomunikacije (m/ž),https://www.moj-posao.net/Posao/697122/Tehnicar-za-telekomunikacije-mz/
Electus DGS d.o.o.,Junior Technical Specialist (m/ž),https://www.moj-posao.net/Posao/696919/Junior-Technical-Specialist-mz/
Electus DGS d.o.o.,Specijalist za upravljanje uslugama za poslovne korisnike (m/ž),https://www.moj-posao.net/Posao/696891/Specijalist-za-upravljanje-uslugama-za-poslovne-korisnike-mz/
TIS Grupa d.o.o.,Mid / Senior Oracle Developer (m/f),https://www.moj-posao.net/Posao/696595/Mid-Senior-Oracle-Developer-mf/
Dream point  d.o.o.,Asistent u web administraciji (m/ž),https://www.moj-posao.net/Posao/696008/Asistent-u-web-administraciji-mz/
RIS AG,Frontend Developer (m/f),https://www.moj-posao.net/Posao/694283/Frontend-Developer-mf/
ELKA društvo s ograničenom odgovornošću za proizvodnju kabela,IT Sistem administrator (m/ž),https://www.moj-posao.net/Posao/691550/IT-Sistem-administrator-mz/
Smart Flex d.o.o.,Tehničar za telekomunikacije (m/ž),https://www.moj-posao.net/Posao/689969/Tehnicar-za-telekomunikacije-mz/
Addiko Bank d.d.,Administrator baza podataka / Database administrator (DBA) (m/ž),https://www.moj-posao.net/Posao/697600/Administrator-baza-podataka-Database-administrator-DBA-mz/
Allianz Hrvatska d.d.,Full-Stack Software Development Engineer (m/ž),https://www.moj-posao.net/Posao/697200/Full-Stack-Software-Development-Engineer-mz/
Assist d.o.o.,ICT Specialist (m/f),https://www.moj-posao.net/Posao/697036/ICT-Specialist-mf/
KONČAR - INSTITUT ZA ELEKTROTEHNIKU,Frontend Software Developer (React) (m/f),https://www.moj-posao.net/Posao/696809/Frontend-Software-Developer-React-mf/
KONČAR - INSTITUT ZA ELEKTROTEHNIKU,Mid .NET Software Developer (m/f),https://www.moj-posao.net/Posao/696813/Mid-NET-Software-Developer-mf/
